Name,Type,Rarity,Description,Unlock
Blade of Valor,Charm,Rare,,
Bombs Away,Charm,Rare,,Season 1 - Tier 69
Boomerang,Charm,Rare,,
Boots on the Ground,Charm,Rare,,Bundle - Lonestar
Centipede,Charm,Rare,,
Chess Moves,Charm,Rare,,Bundle - Bronze Knight
Chibi Machine Gunner,Charm,Rare,,Bundle - Notice Me II
Cymbalisim,Charm,Rare,,
Decked Out,Charm,Rare,,Bundle - Matte Black
Dragon Eye,Charm,Rare,,
Explosive Surprise,Charm,Rare,,Bundle - Emerald Ranger
Fishbones,Charm,Rare,,Bundle - Bone Dry
Free Dive,Charm,Rare,,Bundle - Modern Warfare 2 Campaign Remastered
Freshen Up,Charm,Rare,,Bundle - The Unseen
Getting Paid,Charm,Rare,,Bundle - Executive Armory III
Gloves Off,Charm,Rare,,Bundle - Chill Confirmed
Good Luck,Charm,Rare,,
Gun Run,Charm,Rare,,
Heritage,Charm,Rare,,Bundle - Bird of Prey
Hibiscus,Charm,Rare,,Bundle - Flower Power
High Sodium,Charm,Rare,,Bundle - Heavy Shot
IED,Charm,Rare,,
Jurassic Claw,Charm,Rare,,Bundle - Lone Marauder
Key Rex,Charm,Rare,,Bundle  - Tomogunchi
Lil' Flame,Charm,Rare,,Bundle - Fire Claw I
Livewire,Charm,Rare,,Season 2 - Tier 69
Luna,Charm,Rare,,
Mack8,Charm,Rare,,
Mine Over Matter,Charm,Rare,,Season 1 - Tier 39
Misfortune Cookie,Charm,Rare,,Bundle - Dead Man's Fortune
Old School,Charm,Rare,,
Opynxe,Charm,Rare,,
Pink Bones,Charm,Rare,,Bundle - Lady Luck
Pot Head,Charm,Rare,,Bundle - Blunt Force
Reclawed,Charm,Rare,,Bundle - Fire Claw II
Right in the Kisser,Charm,Rare,,Bundle - Mwah
Rodent Trap,Charm,Rare,,Bundle - The Huntsman
Rubber Neckin',Charm,Rare,,Season 2 Gift Pack - 2020/04/01
Safety First,Charm,Rare,,Bundle - Blue Steele
Scarab,Charm,Rare,,
Sergeant,Charm,Rare,,
Set To Blow,Charm,Rare,,Season 1 - Tier 84
Sharp Dresser,Charm,Rare,,Bundle - Cloak and Dagger
Stick' Em,Charm,Rare,,
Tasty Treat,Charm,Rare,,Bundle - Panda's Treasure
Tempus,Charm,Rare,,Season 1 - Tier 24
The One-Four-One,Charm,Rare,,Season 2 - Tier 24
The Widow,Charm,Rare,,Bundle - Arachnid
Top Dog,Charm,Rare,,Bundle - First Hunt
Wall Hacks,Charm,Rare,,Season 1 - Tier 54
Watch Your Step,Charm,Rare,,Bundle - Tacticolor III
Zipes!,Charm,Rare,,Bundle - Double Strike
50 Cal,Charm,Common,,
Blackshot,Charm,Common,,Season 2 - Tier 39
Cerveza,Charm,Common,,
Cherry On Top,Charm,Common,,
Fill'er Up,Charm,Common,,Season 2 - Tier 54
Firewater,Charm,Common,,
Flashed,Charm,Common,,
Frag Out!,Charm,Common,,Mission - MP - Get 10 Frag Kills.
Have A Heart,Charm,Common,,
Hood Ornament,Charm,Common,,
More Cowbell,Charm,Common,,
Nice Supplies,Charm,Common,,Season 1 - Tier 9
Re-up,Charm,Common,,
Rookie Move,Charm,Common,,Season 2 - Tier 9
Saddled,Charm,Common,,
Smoke in my Eyes,Charm,Common,,
Sunny Disposition,Charm,Common,,
Wolf Pup,Charm,Common,,
Bear Claw,Emblem,Epic,,Bundle - First Hunt
Cause and Affect,Emblem,Epic,,Bundle - Diamond Days
Chained Down,Emblem,Epic,,Bundle - Caliber Conversion Pack: .41 Action Express
Ghost Story,Emblem,Epic,,Bundle - Brutalizer Pack: Bare Metal
Grim Outlook,Emblem,Epic,,Bundle - Wasteland
Hive Mind,Emblem,Epic,,Bundle - Geometric
Honor Bound,Emblem,Epic,,Bundle - British Metal
Life in the Balance,Emblem,Epic,,Bundle - Covert Operations
Mastermind,Emblem,Epic,,Bundle - Organic Circuitry
Skull Crusher,Emblem,Epic,,Bundle - Battle-Ready
Smoking Buddy,Emblem,Epic,,Bundle - Blunt Force
Terminal Patrol,Emblem,Epic,,Bundle - Cleanup Crew
Two Toned Teeth: Silver,Emblem,Epic,,Bundle - Blue Steele
War Dog,Emblem,Epic,,Bundle - Wolf Pack
Black Skull Badge,Emblem,Rare,,Bundle - Sentinel
Boom Bloom,Emblem,Rare,,Bundle - Flower Power
Chimera,Emblem,Rare,,Bundle - Chimera Pack
Devil Horns,Emblem,Rare,,Bundle - Asanbosam
Edge Lord,Emblem,Rare,,Mission - MP - Get 5 kills without dying 3 time(s)
Fruit Salad,Emblem,Rare,,Bundle - Tacticolor III
G.O.M.E. Illuminations,Emblem,Rare,,Mission - WZ - Complete 5 'Recon' Contract(s).
Garden Grove,Emblem,Rare,,Bundle - Panda's Treasure
Ice Age,Emblem,Rare,,Bundle - Cold Blood
Long Toothed,Emblem,Rare,,Bundle - Deathbringer
Pinkeye,Emblem,Rare,,Bundle - Fire Claw II
Wading Marauder,Emblem,Rare,,Bundle - Dead Man's Fortune
War Birds,Emblem,Rare,,Bundle - Lights Out
Web Of Death,Emblem,Rare,,Bundle - Arachnid
Knife Fight,Emblem,Common,,Bundle - Gift Pack
Center Mass,Spray,Rare,,Bundle - FNG
Chill,Spray,Rare,,Bundle - Blue Steele
Dope Thoughts,Spray,Rare,,Bundle - Chill Confirmed
Thunder Knight,Spray,Rare,,Bundle - Bronze Knight
Stalking Gargoyle,Spray,Common,,Bundle - Lone Marauder
Off The Lawn!,Spray,,,Playstation - PS Plus Combat Pack Season 03
Assertive Octopod,Sticker,Legendary,,Bundle - Executive Armory III
Poison Arrow,Sticker,Legendary,,Bundle - Cloak and Dagger
Savage Champion,Sticker,Legendary,,Bundle - Alpha Dog
War Dog,Sticker,Legendary,,Bundle - FNG
Dark Claw,Sticker,Epic,,Bundle - Nightstalker
Ouroboros,Sticker,Epic,,Bundle - Executive Armory V
Pharaoh,Sticker,Epic,,Bundle - Executive Armory IV
Tentacles,Sticker,Epic,,Bundle - Blue Steele
Apex Predator,Sticker,Rare,,Bundle - Fire Claw I
Blunt Silk Wrap,Sticker,Rare,,Bundle - Blunt Force
Chevron Colliding,Sticker,Rare,,Bundle - Emerald Ranger
Crossbones,Sticker,Rare,,Bundle - Bone Dry
Fruit Punch,Sticker,Rare,,Bundle - Tacticolor III
Gladiator,Sticker,Rare,,Bundle - Sentinel
Head Case,Sticker,Rare,,Bundle - Lights Out
In The Rough,Sticker,Rare,,Bundle - Lady Luck
Liberty,Sticker,Rare,,Bundle - Lonestar
Peckish,Sticker,Rare,,Bundle - Battle Hardened
Striker,Sticker,Rare,,Bundle - Double Strike
Tan Diagonal,Sticker,Rare,,Bundle - Bronze Knight
Disco Stud,Watch,Legendary,,Season 1 - Tier 62
Emblem Precision II,Watch,Legendary,Show them what you've got with the Emblem Precision II Watch which displays your currently equiped Emblem on its,Season 2 - Tier 93
Final Countdown,Watch,Legendary,How many kills until I get the nuke? Now you don't have to ask anymore - just look at your watch.,
Freeze Frame,Watch,Legendary,Get a little extra time with the Freeze Frame Watch.,
Life Support,Watch,Legendary,,Season 1 - Tier 93
Precious Commodity,Watch,Legendary,,Bundle - Cold Blood
Radioactive,Watch,Legendary,"Count down to the apocalypse with the Radioactive Watch, which tracks your progress towards a Tactical Nuke.",Bundle - Wasteland
Red Ratio,Watch,Legendary,Beat more than Father Time with the Red Ratio Watch and keep track of your K/D ratio while you're at it.,Season 2 - Tier 62
Skilltrack 55,Watch,Legendary,,
Skilltrack 56,Watch,Legendary,"This watch ranks as one of the most progressive out there. Oh, and it shows your rank progress too.",Playstation - PS Plus  Combat Pack Season 02
Time To Kill,Watch,Legendary,"You HAVE time to kill, or it Is time to kill? Your choice with this functional timepiece which tracks your K/D.",Bundle - Deathbringer
Tomogunchi,Watch,Legendary,,Bundle  - Tomogunchi
Acid Rain,Watch,Epic,,Bundle - Cleanup Crew
Chromatose,Watch,Epic,,Bundle - Overwaturated
Crunch Time,Watch,Epic,,
Digital Ink,Watch,Epic,Never Lose track of the real time or date with the Digital Ink Watch - good for both martial and marital situational,Season 2 - Tier 33
Dinner Time,Watch,Epic,,
Father Time,Watch,Epic,"Father Time is as old as the hills. This watch's retro look belies its stellar performance, however.",
Keele Campaign Silver,Watch,Epic,,Season 1 - Tier 33
Swiftlet,Watch,Epic,"Time to watch the world burn, introducing the Swiftlet Watch.",
Time Traveler,Watch,Epic,Bring some panache to the field of battle - the Time Traveler watch tells the time in the most flossin' manner possible.,
Ursa Minor,Watch,Epic,Don't get caught hibernating with the Ursa Minor Watch.,Bundle - Operator Bundle: Talon
Winding Skull,Watch,Epic,,Bundle - Operator Bundle: Mace
Atlanta Faze,Watch,Rare,This is the Atlanta Faze watch.,Bundle - Atlanta Faze
Chicago Huntsmen,Watch,Rare,This is the Chicago Huntsmen watch.,Bundle - Chicago Huntsmen
Chimera Watch,Watch,Rare,The Fabled Chimera is a cobbled-together animal - which is in stark contrast to this beautiful precision analog timepiece.,Bundle - Chimera Pack
Chrono King BL,Watch,Rare,"Strap this blue-sheened puppy to your wrist and you'll always know the time, even underwater.",Bundle - Blue Steele
Dallas Empire,Watch,Rare,This is the Dallas Empire watch.,Bundle - Dallas Empire
Florida Mutineers,Watch,Rare,This is the Florida Mutineers watch.,Bundle - Florida Mutineers
Keele Campaign Black,Watch,Rare,"Black like the night, time all your nefarious deeds to precision with this handsome timepiece.",
London Royal Ravens,Watch,Rare,This is the London Royal Ravens watch.,Bundle - London Royal Ravens
Los Angeles Guerrillas,Watch,Rare,This is the Los Angeles Guerrillas watch.,Bundle - Los Angeles Guerrillas
Minnesota ROKKR,Watch,Rare,This is the Minnesota ROKKR watch.,Bundle - Minnesota ROKKR
New York Subliners,Watch,Rare,This is the New York Subliners watch.,Bundle - New York Subliners
OpTic Gaming Los Angeles,Watch,Rare,This is the OpTic Gaming Los Angeles watch.,Bundle - OpTic Gaming Los Angeles
Paris Legion,Watch,Rare,This is the Paris Legion watch.,Bundle - Paris Legion
Seattle Surge,Watch,Rare,This is the Seattle Surge watch.,Bundle - Seattle Surge
Spetsnaz Watch,Watch,Rare,"In Communist Russia, time kills you. The Spetsnaz Watch.",
Toronto Ultra,Watch,Rare,This is the Toronto Ultra watch.,Bundle - Toronto Ultra
