Manufacturer,Model,Year
Ford,Mustang Gr.3 Road Car,
Ford,Mustang Gr.4 Race Car,
Ford,Mustang Gr.B Race Car,
Ford,Mustang Shelby GT350R,2016
Genesis,G70 3.3T AWD Performance Package,2022
Genesis,G70 GR4,
Genesis,X GR3,
Gran Turismo,F1500T-A,
Gran Turismo,Racing Kart 125 Shifter,
Gran Turismo,Red Bull X2014 Junior,2014
Gran Turismo,Red Bull X2014 Standard,2014
Gran Turismo,Red Bull X2019 Competition,2019
Greddy,Fugu Z,2015
Honda,Beat,1991
Honda,Civic (EK9) Type R,1997
Honda,Civic (EK9) Type R Touring Car,1997
Honda,Civic (EK9) Type R,1998
Honda,Civic (FK2) Type R,2016
Honda,Civic (FK8) Type R,2020
Honda,Fit Hybrid ,2014
Honda,Integra Type R (DC2),1995
Honda,Integra Type R (DC2),1998
Honda,NSX Type R,1992
Honda,NSX Type R,2002
Honda,NSX Epson Super GT,2008
Honda,NSX Concept-GT Raybrig Super GT,2016
Honda,NSX,2017
Honda,NSX Gr.3 Race Car,
Honda,NSX Gr.4 Race Car,
Honda,NSX Gr.B Race Car,
Honda,Project 2&4 powered by RC213V,2015
Honda,S660,2015
Honda,S800,1966
Honda,S2000,1999
Honda,Sports Vision Gran Turismo,
Hyundai,Genesis Coupe 3.8,2013
Hyundai,Genesis Gr.3,
Hyundai,Genesis Gr.4,
Hyundai,Genesis Gr.B,
Hyundai,N2025 Vision GT,
Hyundai,N2025 Vision GT Gr.1,
Infiniti,Concept Vision Gran Turismo,2014
Jaguar,D-Type,1954
Jaguar,E-Type Coupe,1961
Jaguar,F-Type Coupe,2014
Jaguar,F-Type Gr.3,
Jaguar,F-Type Gr.4,
Jaguar,Vision Gran Turismo,2019
Jaguar,Vision Gran Turismo Roadster,2022
Jaguar,Vision Gran Turismo SV,2022
Jaguar,XJ13,1966
Jaguar,XJR-9,1988
Jeep,Willy’s MB,1945
KTM,X-Bow R,2012
Lamborghini,Aventador LP700-4,2011
Lamborghini,Aventador LP750-4 Superveloce,2015
Lamborghini,Countach LP400,1974
Lamborghini,Countach 25th Anniversary,1988
Lamborghini,Diablo GT,1999
Lamborghini,Huracan GT3,2015
Lamborghini,Huracan Gr.4,
Lamborghini,Huracan LP610-4,2015
Lamborghini,“Lambo V12” Vision GT,2019
Lamborghini,Miura P400 Bertone Prototype CN.0706,1967
Lamborghini,Murcielago LP640,2009
Lamborghini,Veneno,2013
Lancia,Stratos,1973
Lancia,Delta HF Integrale Evoluzione,1991
Lexus,LC500,2017
Lexus,LF-LC GT Vision Gran Turismo,
Lexus,RC F,2014
Lexus,RC F au TOM’S Super GT,2016
Lexus,RC F Emil Frey Racing,2017
Lexus,RC F Gr.4,
Lexus,RC F GT3 Prototype Emil Frey Racing,2016
Lexus,SC430 Petronas Tom’s Super GT,2008
Maserati,Gran Turismo S,2008
Mazda,787B,1991
Mazda,Atenza Sedan XD,2015
Mazda,Atenza Gr.4,
Mazda,Atenza Gr.3,
Mazda,Atenza Gr.3 Road Car,
Mazda,Demio XD Touring,2015
Mazda,Eunos Roadster NA,1989
Mazda,LM55 Vision GT,
Mazda,LM55 Vision GT Gr.1,
Mazda,Roadster (ND) S,2015
Mazda,Roadster Touring Car,1991
Mazda,RX500,1970
Mazda,RX-7 (FC) GT-X,1990
Mazda,RX-7 (FD) Spirit R,2002
Mazda,RX-8 Spirit R,2012
Mazda,RX-Vision Concept,2016
Mazda,RX-Vision GT3 CONCEPT Stealth Model,2020
McLaren,650S,2014
McLaren,650S Gr.4,
McLaren,650S GT3,2015
McLaren,F1,1994
McLaren,F1 GTR Kokusai Kaihatsu Racing,1995
McLaren,MP4-12C,2011
McLaren,P1 GTR,2016
McLaren,Ultimate Vision GT,
McLaren,Ultimate Vision GT Gr.1,
Mercedes-AMG,C63S Coupe,2015
Mercedes-AMG,GT3 HTP Motorsport,2016
Mercedes-AMG,GT S,2015
Mercedes-AMG,GT S Safety Car,
Mercedes-AMG,GT R,2017
Mercedes-AMG,GT Black Series,2020
Mercedes-Benz,300 SEL 6.8 AMG,1971
Mercedes-Benz,300SL W194,1952
Mercedes-Benz,300 SL Coupe,1954
Mercedes-Benz,A45 AMG,2013
Mercedes-Benz,AMG Vision GT,
Mercedes-Benz,AMG Vision GT Racing Series,
Mercedes-Benz,CLK LM,1998
Mercedes-Benz,Sauber C9,1989
Mercedes-Benz,S Barker Tourer,1929
Mercedes-Benz,SLR McLaren,2009
Mercedes-Benz,SLS AMG,2011
Mercedes-Benz,SLS AMG Gr.4,2011
Mercedes-Benz,SLS AMG GT3,2011
Mini,Clubman VGT,
Mini,Cooper S,1965
Mini,Cooper S,2005
Mitsubishi,GTO Twin Turbo,1991
Mitsubishi,Lancer Evolution IV,1996
Mitsubishi,Lancer Evolution V,1998
Mitsubishi,Lancer Evolution VI GSR T.M. SCP,1999
Mitsubishi,Lancer Evo X Final Edition,2015
Mitsubishi,Lancer Evo X Final Edition Gr.3,
Mitsubishi,Lancer Evo X Final Edition Gr.4,
Mitsubishi,Lancer Evo X Final Edition Gr.B,
Mitsubishi,Lancer Evo X Final Edition Gr.B Road Car,
Mitsubishi,XR-PHEV Evolution Vision Gran Turismo,
Nissan,180SX Type X,1996
Nissan,370Z,2008
Nissan,Concept 2020 Vision Gran Turismo,2014
Nissan,Fairlady Z (S30) 240ZG,1971
Nissan,Fairlady Z (S30) Z432,1970
Nissan,Fairlady Z (Z32) 300ZX TwinTurbo 2seater,1989
Nissan,Fairlady Z (Z33) Version S,2007
Nissan,GT-R (R35) Xanavi Nismo,2008
Nissan,GT-R (R35),2017
Nissan,GT-R (R35) Gr.4,
Nissan,GT-R (R35) Gr.B,
Nissan,GT-R (R35) Safety Car,
Nissan,GT-R (R35) NISMO,2017
Nissan,GT-R Nismo GT3 N24 Schulze Motorspor,2013
Nissan,GT-R LM NISMO,2015
Nissan,GT-R (R35) Motul Super GT,2016
Nissan,R92CP,1992
Nissan,SilEighty,1998
Nissan,Silvia (S13) Qs,1988
Nissan,Silvia (S13) Ks Dia Selection,1991
Nissan,Silvia (S15) Spec R Aero,2002
Nissan,Silvia (S15) Touring Car Gr.4,2002
Nissan,Skyline (KPGC10) GT-R,1971
Nissan,Skyline (R32) GT-R V-Spec II,1994
Nissan,Skyline (R33) GT-R V-Spec,1997
Nissan,Skyline (R34) GT-R V-Spec Nur,2002
Nissan,Skyline (R34) GT-R GT500,1999
Nissan,Z Performance,2023
Pagani,Huayra,2013
Pagani,Zonda R,2009
Peugeot,205 T16 Evolution II Rally Car,1986
Peugeot,208 GTI by Peugeot Sport,2014
Peugeot,908 HDI FAP,2010
Peugeot,L500R HYbrid Vision Gran Turismo,
Peugeot,L750R HYbrid Vision Gran Turismo,
Peugeot,RCZ,2015
Peugeot,RCZ Gr.3,
Peugeot,RCZ Gr.3 Road Car,
Peugeot,RCZ Gr.4,
Peugeot,RCZ Gr.B,
Peugeot,Vision Gran Turismo,
Peugeot,Vision Gran Turismo Gr.3,
Plymouth,XNR Ghia Roadster,1960
Plymouth,Superbird,1970
Pontiac,Firebird Trans Am,1978
Porsche,356 A/1500 GS Carrera,1956
Porsche,356 A/1500 GS GT Carrera Speedster,1956
Porsche,911 930 Turbo,1981
Porsche,911 964 Carrera RS,1992
Porsche,911 993 Carrera RS,1995
Porsche,911 993 Carrera RS CS,1995
Porsche,911 996 GT3,2001
Porsche,911 996 GT1 Strassenversion,1997
Porsche,911 997.2 GT3 RS,2009
Porsche,911 991 GT3 RS,2016
Porsche,911 991 RSR,2017
Porsche,917K,1970
Porsche,917 Living Legend Concept,2013
Porsche,919 Hybrid,2016
Porsche,962 C,1988
Porsche,Carrera GT,2004
Porsche,Cayman GT4 Clubsport,2016
Porsche,Spyder Type 550/1500RS,1955
Porsche,Taycan Turbo S,2019
Porsche,Vision Gran Turismo,
Radical,SR3 SL,2011
RE Amemiya,FD3S RX-7,2001
Renault,R8 Gordini,1966
Renault,5 Turbo,1981
Renault Sport,Clio V6 24v,2000
Renault Sport,Clio R.S. 220 EDC Trophy,2015
Renault Sport,Clio R.S. 220 EDC Trophy,2016
Renault Sport,Megane Gr.4,
Renault Sport,Megane RS Trophy,2011
Renault Sport,Megane RS Trophy Safety Car,
Renault Sport,Megane Trophy V6,2011
Renault Sport,R.S.01,2016
Renault Sport,R.S.01 GT3,2016
Ruf,CTR3,2007
Shelby,Cobra 427,1966
Shelby,Cobra Daytona,1965
Shelby,GT350,1965
Subaru,BRZ GT300,2021
Subaru,BRZ S,2015
Subaru,BRZ S,2021
Subaru,BRZ STI Sport,2018
Subaru,Falken Tires/Turn 14 Distribution BRZ,2017
Subaru,Impreza Coupe WRX Type R,1999
Subaru,Impreza 22B,1998
Subaru,WRX STI Type S,2014
Subaru,WRX Gr.B Race Car,
Subaru,WRX Gr.B Road Car,
Subaru,WRX STI Gr.3 Race Car,
Subaru,WRX STI Gr.4 Race Car,
Subaru,WRX STI Isle of Man Time Attack Car,2016
Subaru,VIZIV GT Vision Gran Turismo,2014
Super Formula,SF19 Dallara/Honda,2019
Super Formula,SF19 Dallara/Toyota,2019
Suzuki,Cappuccino (EA11R),1991
Suzuki,Swift Sport,2007
Suzuki,Swift Sport,2017
Suzuki,Swift Sport Gr.4,2017
Tesla,Model S Performance,2012
Toyota,2000GT,1967
Toyota,86 GT,2015
Toyota,86 GRMN,2016
Toyota,86 GT “Limited”,2016
Toyota,86 Gr.4,
Toyota,86 Gr.B,
Toyota,Aqua S,2011
Toyota,Celica GT-Four (ST205),1995
Toyota,Corolla Levin AE86,1983
Toyota,Crown Athlete G,2013
Toyota,Crown Athlete G Safety Car,2013
Toyota,FT-1,2014
Toyota,FT-1 Vision Gran Turismo,
Toyota,FT-1 Vision Gran Turismo Gr.3,
Toyota,GR 86 RZ,2021
Toyota,GR Supra (A90),2019
Toyota,GR Supra (A90),2020
Toyota,GR Supra (A90) Gr.4,
Toyota,GR Supra Racing Concept,2018
Toyota,GR Yaris,2020
Toyota,MR2 (W20) GT-S,1997
Toyota,Prius,2009
Toyota,SF-R,2015
Toyota,SF-R Racing Concept,2015
Toyota,Sports 800,1965
Toyota,Sprinter Trueno AE86,1983
Toyota,Sprinter Trueno AE86 Shuichi Shigeno,2000
Toyota,Supra GT500,1997
Toyota,Supra (A70),1992
Toyota,Supra RZ (A80),1997
Toyota,TS030 Hybrid,2012
Toyota,TS050 Hybrid,2016
Toyota,Tundra TRD Pro,2019
TVR,Tuscan Speed Six,2000
Volkswagen,1200,1966
Volkswagen,Beetle Gr.3,
Volkswagen,Golf I GTI,1983
Volkswagen,Golf VII GTI,2014
Volkswagen,GTI Roadster Vision GT,
Volkswagen,GTI Supersport Vision GT,
Volkswagen,GTI Vision Gran Turismo Gr.3,
Volkswagen,Polo GTI,2014
Volkswagen,Samba Bus Type 2 (T1),1962
Volkswagen,Scirocco Gr.4,
Volkswagen,Scirocco R,2010
Wicked Fabrication,GT 51,2016
Zagato,IsoRivolta Vision Gran Turismo,
