Manufacturer,Model,Year,Drivetrain,Max Power (BHP/rpm),Max Torque (ft-lb/rpm),Weight (kg),Cr.
Mitsubishi,Lancer Evolution X GSR Premium Package,2007,4WD,276/6500,311.01/3500,1540,"42,000"
Nissan,Skyline R34 GT-R V-spec II Nur,2002,4WD,276/6800,289.31/4400,1560,"61,000"
Nissan,Fairlady Z Version S,2007,FR,308/6800,264.00/4800,1480,"36,300"
Nissan,Skyline Sedan 350GT Type SP,2006,FR,310/6800,264.00/4800,1610,"38,000"
Nissan,Skyline Coupe Concept,2007,FR,---/---,---/---,---,---
Nissan,Skyline Coupe 370GT Type SP,2007,FR,328/7000,267.61/5200,1660,"44,730"
Nissan,GT-R Proto,2005,---,---/---,---/---,---,---
Nissan,R35 GT-R,2007,4WD,473/6400,433.97/3200-5200,1740,"77,700"
Renault,Clio Sport V6 24V,2000,MR,229/6000,221.32/3750,1335,"45,500"
Subaru,Impreza WRX STI (18inch BBS Wheel Option),2007,4WD,303/6400,311.01/4400,1470,"36,540"
Subaru,Impreza Sedan WRX STI spec C Type RA,2005,4WD,276/6400,311.01/4400,1390,"38,200"
Suzuki,Cappuccino,1995,FR,63/6500,75.94/3500,690,"14,600"
Suzuki,Suzuki Swift Sport,2007,FF,123/6800,109.21/4800,1060,"16,300"
Suzuki,Cervo SR,2007,FF,63/6500,"75,94/3500",820,"14,180"
TVR,Tuscan Speed Six,2000,FR,359/7000,310.00/5250,1100,"94,800"
TVR,Tamora,2002,FR,345/7500,290.03/5750,1060,"70,940"
Volkswagen,Golf IV GTI,2001,FF,147/5700,154.78/1750-4600,1280,"31,500"
Volkswagen,Golv V GTI,2005,FF,197/5100,206.86/1800-5000,1336,"32,750"
Amuse,S2000 GT1 Turbo,,FR,---/---,---/---,---,"250,000"
Art Morrison,Art Morrison Corvette,1960,---,---/---,---/---,---,"250,000"
Blitz,Blitz Dunlop ER34,2007,FR,571/7600,501.89/5600,---,"250,000"
Mine's,Mine's BNR34 Skyline GT-R N1 base,2006,4WD,591/7400,433.97/5400,1340,"200,000"
Concept by GT,Amuse/Opera Performance Gran Turismo 350Z RS,,FR,---/---,---/---,---,"70,000"
Concept by GT,Chevrolette Corvette Z06 /Tuned,,FR,---/---,---/---,---,"200,000"
Concept by GT,Dodge Viper SRT10 Coupe /Tuned,,FR,---/---,---/---,---,"200,000"
Concept by GT,Ford GT LM Spec II Test Car,,MR,---/---,---/---,---,"300,000"
Concept by GT,Lotus Elise 111R /Tuned,,MR,---/---,---/---,---,"100,000"
Concept by GT,Lotus Elise /Tuned,,MR,---/---,---/---,---,"80,000"
Concept by GT,Mitsubishi Lancer Evolution IX GSR /Tuned,,4WD,---/---,---/---,---,"60,000"
Concept by GT,Mitsubishi Lancer Evolution X GSR Premium Package /Tuned,,4WD,---/---,---/---,---,"80,000"
Concept by GT,Nissan Skyline Coupe /Tuned,,FR,---/---,---/---,---,"80,000"
Concept by GT,Renault Clio Sport V6 24V /Tuned,,MR,---/---,---/---,---,"100,000"
Concept by GT,Suzuki Cappuccino /HP Tuned,,FR,---/---,---/---,---,"80,000"
Concept by GT,Suzuki Swift Sport /Tuned,,FF,---/---,---/---,---,"60,000"
