Achievement,Description,Points
A Safe Place,Complete the sector project in Novikov Crater,10
Striking Oil,Complete the sector project in Ikkuma Glacier,10
Carved in Concrete,Complete the sector project in Viridian Coves,10
Dam Right!,Complete the sector project in Walbruck Basin,10
A New Path,Complete the sector project in Kinngait Protectorate,10
Change Gonna Come,Complete the sector project at in Akia Floes,10
To Trace an Ark,Complete the sector project in Cape Ambar,10
Unlimited Energy,Complete Phase 3 of the Lunar Licensing Program,30
The Second Wave,Complete Phase 2 of the Lunar Licensing Program,20
A Matter For The Boss,Complete 10 optional Assignments,10
Amicus Ex Machina,Complete 10 Assignments for Luca Volodin,10
Outsider Appeal,Complete 10 Assignments for Ville Jorgensen,10
Emergency Aid,Complete 10 optional Assignments in events,10
Agent of Unknown Powers,Complete 10 Assignments for the Mysterious Woman,10
On the Lookout,Complete 10 Assignments for May Tian,10
A Company of Good Record,Complete 100 optional Assignments,20
Nope,Abort 100 optional Assignments,10
Don't Expect Thanks,Complete 10 Assignments for Dr. Howard Young,10
Power Broker,Complete 10 Assignments for Emem Buhari,10
Research Assistant,Complete 10 Assignments for Dr. Eleanor Hofwegen,10
Mingling Manager,Foil 10 of Virgil Drake's plans,10
Don't Expect A Smile,Complete 10 Assignments for John Rafferty,10
Preferential Relations,Complete 10 Assignments for Aidan Bhargava,10
Counter Revolutionist,Complete 10 Assignments for Zandra Haynes,10
Good Fellows,Complete 10 Assignments for Nic Papadakis,10
Demolition,Destroy all rare material storages in a crisis sector after unlocking Magnetite,20
Drake's Revenge,Lose a Crisis Sector,10
No White Flags,Complete an Crisis Sector in the Arctic region on expert difficulty,30
Titanic,Lose all eight ships in a crisis sector,20
Brute Force,Clear a Crisis Sector without using special actions,20
War Hero,Clear all basic Crisis Sectors on all difficulty levels,10
Cold Blood,Complete an Crisis Sector in the Arctic region on advanced difficulty,10
Bemedalled,Complete an Crisis Sector in the Temperate region on expert difficulty,30
Naval Power,Have a fleet with the maximum number of ships,10
Driving Expedition,Lose 10 ships,10
Orders Are Orders,Transfer oxygen from the Moon to a temperate sector,10
Battlewise,Complete an Crisis Sector in the Temperate region on advanced difficulty,10
Neptune's Wrath,"Destroy 1,000 enemy vehicles",10
Save the Arctic, Send Ice,Transfer ice fromthe Moon to an arctic sector,10
World Export Champion,Have at least one incoming and one outgoing route in every sector of the basic game,20
Energy Turnaround,Set up an energy Transfer Route,10
Delivered On-Site,Create a Transfer Route between temperate sectors,10
New Markets,Trade with Ville Jorgensen,10
Always On Schedule,Run 25 Transfer Routes,10
Hauling At The Moon,Create a Transfer Route from or to a lunar sector,10
While Stocks Last,Trade with Zandra Haynes,10
Brain Drain,Create 5 routes for Neuro Implants,10
Rainmaker,"Gain a credit balance of 10,000 from all your world market routes",20
Wildcatter,"Spend a credit balance of 10,000 over all your world market routes",10
Sales Oriented,"Gain a credit balance of 1,000 from a single world market route",10
Copycat,Choose a special corporation name,10
A.I. Pioneers,Choose a special corporation name,10
Below Value,"Spend a credit balance of 1,000 on a single world market route",10
Expense Is No Object,"Spend 1,000,000 credits with traders",10
There Will Be Cake,Choose a special corporation name,10
Biotech Pioneers,Choose a special corporation name,10
Entertainment Pioneers,Choose a special corporation name,10
Walk Like a Lunarian,Produce Gravity Fields,20
In Machina,Produce Androids,20
My First Million,"Attain a credit balance of +1,000,000",30
"Earl Grey, Hot",Produce Replicators,20
Quantum Leap,Produce Quantum Computers,20
Chief Economist,"Have a credit balance of +10,000",20
This Is... Luna!,Have a workforce of 300 on the Moon,100
Thirst Quencher,Produce 250 Water in a sector,10
