Manufacturer,Model,Year,Full Name,Division,Unlock Level
Ferrari,599 GTO,2011,Ferrari 599 GTO,Super,20
Ferrari,F12berlinetta,2012,Ferrari F12berlinetta,Super,22
Ferrari,F40,1987,Ferrari F40,Super,
Ferrari,F50,1995,Ferrari F50,Super,
Icona,Vulcano H-Turismo V12,2013,Icona Vulcano H-Turismo V12,Super,
Jaguar,XJ220,1992,Jaguar XJ220,Super,
KTM,X-Bow R,2013,KTM X-Bow R,Super,24
Lamborghini,Aventador LP720-4 50* Anniversario,2013,Lamborghini Aventador LP720-4 50* Anniversario,Super,
Lamborghini,Diablo SV,1999,Lamborghini Diablo SV,Super,
Lamborghini,Gallardo LP570-4 Squadra Corse,2014,Lamborghini Gallardo LP570-4 Squadra Corse,Super,
Lamborghini,Huracan LP 610-4,2015,Lamborghini Huracan LP 610-4,Super,
Lamborghini,Murcielago LP 670-4 SV,2010,Lamborghini Murcielago LP 670-4 SV,Super,
Lamborghini,Reventon,2007,Lamborghini Reventon,Super,
Marussia,B2,2012,Marussia B2,Super,26
Mazzanti,Evantra,2014,Mazzanti Evantra,Super,28
McLaren,570S Coupe,2016,McLaren 570S Coupe,Super,
McLaren,650S Coupe,2015,McLaren 650S Coupe,Super,
McLaren,MP4-12C,2011,McLaren MP4-12C,Super,31
Mercedes-Benz,AMG GT3,2016,Mercedes-Benz AMG GT3,Super,
Mercedes-Benz,SLS AMG Couple Black Series,2014,Mercedes-Benz SLS AMG Couple Black Series,Super,33
Mercedes-Benz,SLS AMG Electric Drive,2014,Mercedes-Benz SLS AMG Electric Drive,Super,
Nissan,GTR R35 Nismo,2015,Nissan GTR R35 Nismo,Super,
Renault,Alpine A110-50 Concept,2012,Renault Alpine A110-50 Concept,Super,
Renault,Sport RS 01,2015,Renault Sport RS 01,Super,
Renault,Twin'Run Concept,2013,Renault Twin'Run Concept,Super,36
RUF,RT12 R,2011,RUF RT12 R,Super,37
Savage Rivale,GTR-S,2013,Savage Rivale GTR-S,Super,38
Spania,GTA Spano,2013,Spania GTA Spano,Super,39
SRT,Viper GTS,2013,SRT Viper GTS,Super,
VUHL,5,2014,,Super,
Ferrari,599X Evoluzione,2012,Ferrari 599X Evoluzione,Hyper,
Ferrari,Enzo Ferrari,2002,Ferrari Enzo Ferrari,Hyper,
Ferrari,FXX Evoluzione,2005,Ferrari FXX Evoluzione,Hyper,
Ferrari,FXX K,2015,Ferrari FXX K,Hyper,
Ferrari,LaFerrari,2013,Ferrari LaFerrari,Hyper,
Gumpert,Apollo Enraged,2012,Gumpert Apollo Enraged,Hyper,
Hennessey,Venom GT,2012,Hennessey Venom GT,Hyper,
Jaguar,C-X75 Prototype Edition,2013,Jaguar C-X75 Prototype Edition,Hyper,
Koenigsegg,Agera R,2012,Koenigsegg Agera R,Hyper,
Koenigsegg,One:1,2014,Koenigsegg One:1,Hyper,
Koenigsegg,Regera,2015,Koenigsegg Regera,Hyper,
Lamborghini,Sesto Elemento,2011,Lamborghini Sesto Elemento,Hyper,
Lamborghini,Veneno,2013,Lamborghini Veneno,Hyper,
McLaren,F1 LM,1995,McLaren F1 LM,Hyper,
McLaren,P1,2013,McLaren P1,Hyper,20
McLaren,P1 GTR,2015,McLaren P1 GTR,Hyper,
Pagani,Huayra,2012,Pagani Huayra,Hyper,30
Pagani,Zonda R,2012,Pagani Zonda R,Hyper,25
Peugeot,Onyx Concept,2013,Peugeot Onyx Concept,Hyper,
Rimac Automobili,Concept_One,2012,Rimac Automobili Concept_One,Hyper,
RUF,CTR3 Clubsport,2012,RUF CTR3 Clubsport,Hyper,35
W Motors,Lykan Hypersport,2014,W Motors Lykan Hypersport,Hyper,40
Wombat,Typhoon,2006,Wombat Typhoon,Bonus,
Bimota,BB3,,Bimota BB3,Bike,
BMW,S1000RR,,BMW S1000RR,Bike,
Ducati,1299 Panigale S,,Ducati 1299 Panigale S,Bike,
Ducati,1098 R,,Ducati 1098 R,Bike,
Ducati,Desmosedici RR,,Ducati Desmosedici RR,Bike,
EBR,1190RX,,EBR 1190RX,Bike,
EBR,1190SX,,EBR 1190SX,Bike,
Honda,CBR1000RR Fireblade SP,,Honda CBR1000RR Fireblade SP,Bike,
Kawasaki,Ninja H2,,Kawasaki Ninja H2,Bike,
Kawasaki,Ninja ZX-10R 30th Anniversary Edition,,Kawasaki Ninja ZX-10R 30th Anniversary Edition,Bike,
KTM,RC8 R,,KTM RC8 R,Bike,
KTM,1290 Super Duke R,,KTM 1290 Super Duke R,Bike,
MV Agusta,F4 RR,,MV Agusta F4 RR,Bike,
Suzuki,GSX R1000,,Suzuki GSX R1000,Bike,
Suzuki,GSX S1000,,Suzuki GSX S1000,Bike,
Yamaha,YZF-R1,,Yamaha YZF-R1,Bike,
Yamaha,YZF-R1M,,Yamaha YZF-R1M,Bike,
