Country,Track,Direction,Type,DLC,Length (miles),Length (km)
India,Glenmorgan,Normal,Road Circuit,"Original, PS+",2.1,3.4
India,Glenmorgan (Reverse),Reverse,Road Circuit,"Original, PS+",2.1,3.4
India,Munnar,Normal,Point to Point,"Original, PS+",6.1,9.9
India,Munnar (Reverse),Reverse,Point to Point,"Original, PS+",6.1,9.9
India,Nilgiri Hills,Normal,Point to Point,"Original, PS+",5.7,9.2
India,Nilgiri Hills (Reverse),Reverse,Point to Point,"Original, PS+",5.7,9.2
India,Tamil Nadu Circuit 01,Normal,Race Track,"Original, PS+",2.5,3.9
India,Tamil Nadu Circuit 02,Normal,Race Track,"Original, PS+",1.6,2.6
India,Tamil Nadu Circuit 03,Normal,Race Track,"Original, PS+",1.7,2.8
India,Yedapalli,Normal,Road Circuit,Patch 1.07,1.9,3
India,Yedapalli (Reverse),Reverse,Road Circuit,Patch 1.07,1.9,3
Japan,Asagiri Hills Racetrack 01,Normal,Race Track,Patch 1.10,2.9,4.7
Japan,Asagiri Hills Racetrack 02,Normal,Race Track,Patch 1.10,2.4,3.8
Japan,Asagiri Hills Racetrack 03,Normal,Race Track,Patch 1.10,2.5,4.1
Japan,Goshodaira,Normal,Point to Point,Patch 1.10,4.2,6.7
Japan,Goshodaira (Reverse),Reverse,Point to Point,Patch 1.10,4.2,6.7
Japan,Gujo 01,Normal,Urban Circuit,Patch 1.28,1.36,2.2
Japan,Gujo 01 (Reverse),Reverse,Urban Circuit,Patch 1.28,1.36,2.2
Japan,Gujo 02,Normal,Urban Circuit,Patch 1.28,1.36,2.2
Japan,Gujo 02 (Reverse),Reverse,Urban Circuit,Patch 1.28,1.36,2.2
Japan,Gujo 03,Normal,Urban Circuit,Patch 1.28,0.9,1.5
Japan,Gujo 03 (Reverse),Reverse,Urban Circuit,Patch 1.28,0.9,1.5
Japan,Kobago,Normal,Road Circuit,Patch 1.11,2.2,3.6
Japan,Kobago (Reverse),Reverse,Road Circuit,Patch 1.11,2.2,3.6
Japan,Lake Shoji,Normal,Road Circuit,Patch 1.10,2.3,3.7
Japan,Lake Shoji (Reverse),Reverse,Road Circuit,Patch 1.10,2.3,3.7
Japan,Nakasendo,Normal,Point to Point,Patch 1.10,6.3,10.2
Japan,Nakasendo (Reverse),Reverse,Point to Point,Patch 1.10,6.3,10.2
Japan,Takahagi Hills,Normal,Road Circuit,Patch 1.10,3.6,5.7
Japan,Takahagi Hills (Reverse),Reverse,Road Circuit,Patch 1.10,3.6,5.7
Norway,Atlanterhavsvegen,Normal,Road Circuit,Patch 1.08,2.9,4.6
Norway,Atlanterhavsvegen (Reverse),Reverse,Road Circuit,Patch 1.08,2.9,4.6
Norway,Bryggen 01,Normal,Urban Circuit,Patch 1.28,1.98,3.2
Norway,Bryggen 01 (Reverse),Reverse,Urban Circuit,Patch 1.28,1.98,3.2
Norway,Bryggen 02,Normal,Urban Circuit,Patch 1.28,1.24,2
Norway,Bryggen 02 (Reverse),Reverse,Urban Circuit,Patch 1.28,1.24,2
Norway,Bryggen 03,Normal,Urban Circuit,Patch 1.28,1.3,2.1
Norway,Bryggen 03 (Reverse),Reverse,Urban Circuit,Patch 1.28,1.3,2.1
Norway,Holmastad,Normal,Point to Point,Original,5.9,9.4
Norway,Holmastad (Reverse),Reverse,Point to Point,Original,5.9,9.4
Norway,Hurrungane,Normal,Point to Point,Original,6,9.7
Norway,Hurrungane (Reverse),Reverse,Point to Point,Original,6,9.7
Norway,Sentraltind,Normal,Road Circuit,Original,2.4,3.9
Norway,Sentraltind (Reverse),Reverse,Road Circuit,Original,2.4,3.9
Norway,Skjolden,Normal,Road Circuit,Original,2.9,4.5
Norway,Skjolden (Reverse),Reverse,Road Circuit,Original,2.9,4.5
Norway,SKNO Sognefjord Raceway 01,Normal,Race Track,Original,2.5,4
Norway,SKNO Sognefjord Raceway 02,Normal,Race Track,Original,2.6,4.1
Norway,SKNO Sognefjord Raceway 03,Normal,Race Track,Original,2.1,3.4
Scotland,Black Hills Race Circuit 01,Normal,Race Track,Original,2.7,4.3
Scotland,Black Hills Race Circuit 02,Normal,Race Track,Original,2.5,4
Scotland,Black Hills Race Circuit 03,Normal,Race Track,Original,3.3,5.3
Scotland,Kinloch,Normal,Road Circuit,Original,2.8,4.5
Scotland,Kinloch (Reverse),Reverse,Road Circuit,Original,2.8,4.5
Scotland,Loch Duich,Normal,Road Circuit,Original,2.9,4.6
Scotland,Loch Duich (Reverse),Reverse,Road Circuit,Original,2.9,4.6
Scotland,Old Town 01,Normal,Urban Circuit,Patch 1.26,1.43,2.3
Scotland,Old Town 01 (Reverse),Reverse,Urban Circuit,Patch 1.26,1.43,2.3
Scotland,Old Town 02,Normal,Urban Circuit,Patch 1.26,1.3,2.1
Scotland,Old Town 02 (Reverse),Reverse,Urban Circuit,Patch 1.26,1.3,2.1
Scotland,Old Town 03,Normal,Urban Circuit,Patch 1.26,1.24,2
Scotland,Old Town 03 (Reverse),Reverse,Urban Circuit,Patch 1.26,1.24,2
Scotland,The Kyle,Normal,Point to Point,Original,4.6,7.4
Scotland,The Kyle (Reverse),Reverse,Point to Point,Original,4.6,7.4
Scotland,Trotternish,Normal,Point to Point,Original,4.5,7.2
Scotland,Trotternish (Reverse),Reverse,Point to Point,Original,4.5,7.2
Scotland,Wester Ross,Normal,Road Circuit,Patch 1.07,3.4,5.5
Scotland,Wester Ross (Reverse),Reverse,Road Circuit,Patch 1.07,3.4,5.5
