Campaign,Season,Type,Track,Class,Laps,Rules,Ship,Time,Zones,Points
HD,Speed Freak,,,,,,,,,
HD,Speed Freak,,,,,,,,,
HD,Speed Freak,,,,,,,,,
HD,Speed Freak,,,,,,,,,
HD,Speed Freak,,,,,,,,,
HD,Speed Freak,,,,,,,,,
HD,Speed Freak,,,,,,,,,
HD,Head Rush,,,,,,,,,
HD,Head Rush,,,,,,,,,
HD,Head Rush,,,,,,,,,
HD,Head Rush,,,,,,,,,
HD,Head Rush,,,,,,,,,
HD,Head Rush,,,,,,,,,
HD,Head Rush,,,,,,,,,
HD,Head Rush,,,,,,,,,
HD,Head Rush,,,,,,,,,
HD,Head Rush,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
HD,Meltdown,,,,,,,,,
