Tournament,Start date,End date,Players
Equinox Annual Cup,19/03/2013,25/03/2013,1377
Rainbow Masters,12/03/2013,18/03/2013,1266
Changing of the Seasons Tee-Off,05/03/2013,11/03/2013,1163
Hibernation Masters,26/02/2013,04/03/2013,1169
Thundercloud Tour,19/02/2013,25/02/2013,1224
Cupid Challenge Cup,12/02/2013,18/02/2013,1245
Groundhog Day Event,05/02/2013,11/02/2013,1280
Polar Bear Classic,29/01/2013,04/02/2013,1298
Iced Tee Open,22/01/2013,28/01/2013,1297
Jack Frost Masters,15/01/2013,21/01/2013,1279
Frozen Penguin Tour,08/01/2013,14/01/2013,1369
New Year Tee-Off,01/01/2013,07/01/2013,1406
Christmas Challenge Cup,25/12/2012,31/12/2012,1387
End of the Year Masters,18/12/2012,24/12/2012,1156
Snowball Championships,11/12/2012,17/12/2012,1158
Winter Winners' Cup,04/12/2012,10/12/2012,1195
Misty Masters,27/11/2012,03/12/2012,1196
Raincloud Challenge,20/11/2012,26/11/2012,1187
Poppy Memorial Cup,13/11/2012,19/11/2012,1218
The Fireworks Open,06/11/2012,12/11/2012,1303
Halloween Classic,30/10/2012,05/11/2012,1345
Leaf-Fall Tour,23/10/2012,29/10/2012,1447
Autumn Masters,16/10/2012,22/10/2012,1512
Acorn Championship,09/10/2012,15/10/2012,1563
Oktoberfest Challenge Cup,02/10/2012,08/10/2012,1612
The Fairway Open,25/09/2012,01/10/2012,1622
Harvest Tour,18/09/2012,24/09/2012,1752
Moonlight Beginner's Cup,11/09/2012,17/09/2012,1953
Sunset Challenge,04/09/2012,10/09/2012,1950
Heatwave Challenge,28/08/2012,03/09/2012,2049
Blue Sky Classic,21/08/2012,27/08/2012,2124
Sunflower Cup,14/08/2012,20/08/2012,2246
Olympian Golf Tournament,07/08/2012,13/08/2012,2321
Summer Games Tee Off,31/07/2012,06/08/2012,2512
Mid-summer Masters,24/07/2012,20/07/2012,2678
