Tournament,Date,Rank,Name,Platform,VIP,Score,Points,Rankings,Country,Gender,Age,Character,Character Level,Club,Club Level,Ball,Ball Level,Shot,Victory,Runner-Up,Placed,Games Played
Sunburst Championship,23/05/2014,4,Robbery-98,PS3,,-9,2200,62,CAN,M,30 to 39,Kat,Max,,5,,5,,1,0,98,217
Sunburst Championship,23/05/2014,5,kdoll08,PS Vita,Yes,-9,2200,65,USA,M,30 to 39,Kat,Max,,5,,5,,1,1,371,505
Sunburst Championship,23/05/2014,6,Cougar300,PS3,,-8,2313,207,USA,M,40 to 49,,Max,,5,,5,,1,0,167,248
Sunburst Championship,23/05/2014,7,solid718,PS Vita,,-8,2140,13,BRA,M,20 to 29,,Max,,5,,5,,38,17,146,268
Sunburst Championship,23/05/2014,8,ftgsdkl,PS Vita,Yes,-8,2130,39,USA,M,30 to 39,Kat,Max,,5,,5,,18,10,300,403
Sunburst Championship,23/05/2014,8,ftgsdkl,PS3,Yes,-8,2130,33,USA,M,30 to 39,Kat,Max,,5,,5,,1,12,152,179
Sunburst Championship,23/05/2014,10,Goldenstyk,PS3,,-8,2120,3,USA,M,Under 10,Kat,Max,,5,,5,,0,3,119,134
Sunburst Championship,21/05/2014,1,solid718,PS Vita,,-13,2795,,BRA,,20 to 29,,Max,,5,,5,,,,,
Sunburst Championship,21/05/2014,2,LastNinja64,PS3,,-13,2736,,UK,,,Kat,Max,,5,,5,,,,,
Sunburst Championship,21/05/2014,3,Mr_Skitch,PS3,,-12,2715,219,USA,,20 to 29,Kat,Max,,5,,5,,,,,
Sunburst Championship,21/05/2014,4,TheJessman,PS3,,-12,2609,60,CAN,,,Kat,Max,,5,,5,,38,17,144,266
Sunburst Championship,21/05/2014,5,Nanjirox,PS3,,-11,2654,19,FRA,,30 to 39,Kat,Max,,5,,5,,5,4,147,192
Sunburst Championship,21/05/2014,6,DonnyMassive,PS Vita,Yes,-11,2640,264,USA,,30 to 39,,Max,,5,,5,,5,1,147,192
Sunburst Championship,21/05/2014,7,Kevin_Boss2217,PS3,,-11,2570,7,USA,,10 to 19,Kat,Max,,5,,5,,0,3,156,218
Sunburst Championship,21/05/2014,8,crssley,PS3,,-11,2548,176,USA,,,,Max,,5,,5,,0,0,69,162
Sunburst Championship,21/05/2014,9,jamasula,PS3,,-11,2540,,USA,,30 to 39,,Max,,5,,5,,0,0,1,2
Sunburst Championship,21/05/2014,10,iamkoza,PS Vita,,-11,2498,481,USA,,30 to 39,Kat,Max,,5,,5,,0,2,316,515
Sunburst Championship,20/05/2014,1,starsaber00,PS Vita,Yes,-22,5065,201,USA,,,Kat,Max,,5,,5,,11,13,289,412
Sunburst Championship,20/05/2014,2,dimskill,PS3,,-21,4980,,UK,,40 to 49,,Max,,5,,5,,5,5,204,248
Sunburst Championship,20/05/2014,3,Goldenstyk,PS3,,-21,4900,,USA,,Under 10,Kat,Max,,5,,5,,0,3,116,131
Sunburst Championship,20/05/2014,4,MrPinghigh69,PS Vita,Yes,-21,4880,,USA,,40 to 49,Kat,Max,,5,,5,,9,11,285,449
Sunburst Championship,20/05/2014,5,Der_Fasermacker,PS3,,-21,4860,,GER,,30 to 39,,3,,5,,5,,0,1,7,16
Sunburst Championship,20/05/2014,6,TEAM420s-WEEDMAN,PS3,,-20,5030,,USA,,40 to 49,Kat,Max,,5,,5,,0,0,66,173
Sunburst Championship,20/05/2014,7,Kevin_Boss2217,PS3,,-20,4795,,USA,,10 to 19,Kat,Max,,5,,5,,1,0,24,37
Sunburst Championship,20/05/2014,8,VIKINGS_4_LIFE_,PS3,,-20,4738,,USA,,20 to 29,Kat,Max,,5,,5,,2,1,129,224
Sunburst Championship,20/05/2014,9,Chinnereth,PS3,,-20,4730,,USA,,60 to 69,,Max,,5,,5,,1,0,35,45
Sunburst Championship,20/05/2014,10,holman9620,PS Vita,,-20,4640,13,USA,,20 to 29,,Max,,5,,5,,2,2,353,558
