ID,Manufacturer,Model,Year,Premium/Standard,Level,PP,Displacement,Max Power (BHP/rpm),Max Torque (kgfm/rpm),Drivetrain,Length (mm),Width (mm),Height (mm),Weight (kg),Cr.
29,Alpine,A310 1600VE,1973,S,,,,,,,,,,,
30,Amuse,Carbon R (R34),2004,S,,,,,,,,,,,
31,Amuse,NISMO 380RS Super Leggera,,P,,,,,,,,,,,
32,Amuse,S2000 GTI,2004,S,,,,,,,,,,,
33,Amuse,S2000 GTI Turbo,2004,P,,,,,,,,,,,
34,Amuse,S2000 R1,2004,S,,,,,,,,,,,
35,Amuse,S2000 Street Version,2004,S,,,,,,,,,,,
,Aston Martin,DB9 Coupe,2006,P,9,505,5935,449/6000,58.10/5000,FR,4710,1875,1270,1710,"181,860"
,Aston Martin,V12 Vantage,2010,P,13,521,5935,509/6500,58.20/5750,FR,4380,1865,1241,1680,"217,350"
,Audi,TT Coupe 3.2 Quattro ,2003,P,2,421,3189,246/6300,32.70/2800-3200,4WD,4041,1764,1345,1520,"57,740"
,Audi,TT Coupe 3.2 Quattro ,2007,P,3,434,3189,246/6300,32.60/2500-3000,4WD,4178,1842,1352,1410,"59,000"
,Audi,TTS Coupe,2009,P,4,444,1984,268/6000,35.70/2500-5000,4WD,4198,1842,1345,1415,"68,000"
,Audi,R8 4.2 FSI R tronic ,2007,P,10,515,4163,414/7800,43.90/4500-6000,4WD,4431,1904,1249,1560,"166,700"
,Audi,RS 6 Avant,2008,P,10,518,4991,571/6250-6700,66.30/1500-6250,4WD,4928,1889,1460,2025,"166,000"
,Audi,R8 5.2 FSI Quattro,2009,P,12,539,5204,517/8000,54.10/6500,4WD,4435,1930,1252,1620,"199,400"
,Audi,R10 TDI Race Car,2006,P,23,673,5499,649/---,112.20/---,MR,4650,2000,1030,925,"4,750,000"
,BMW,Z4,2003,P,2,420,2979,227/5900,30.60/3500,FR,4091,1781,1299,1365,"38,600"
,BMW,135i Coupe,2007,P,6,456,2979,301/5800,40.80/1300-5000,FR,4360,1748,1408,1560,"64,300"
,BMW,Concept 1 Series tii,2007,P,6,458,2979,---,---,FR,---,---,---,---,"70,000"
,BMW,Z4 M Coupe,2008,P,7,469,3246,338/7900,37.20/4900,FR,4113,1781,1287,1495,"69,500"
,BMW,M3 Coupe,2007,P,8,488,3999,414/8300,40.79/3900,FR,4615,1804,1418,1655,"92,400"
,BMW,M5,2008,P,10,513,4999,499/7750,53.10/6100,FR,4855,1846,1469,1855,"137,000"
,Chevrolet,Camaro Z28,1969,P,5,451,4949,289/5800,40.10/4200,FR,4724,1880,1311,1415,"65,000"
,Chevrolet,Corvette Convertible (C3),1969,P,6,456,5735,299/4800,52.54/3200,FR,4636,1753,1217,1552,"50,000"
,Chevrolet,Corvette Z06 (C5),2004,P,9,506,5665,405/6000,55.30/4800,FR,4566,1869,1212,1414,"54,200"
,Chevrolet,Camaro SS,2010,P,9,498,6162,426/5900,58.10/4600,FR,4836,1918,1377,1755,"35,000"
,Chevrolet,Corvette C7 Test Prototype,,P,12,526,--,--,--,--,--,--,--,--,"100,000"
,Chevrolet,2014 Corvette Stingray Final Prototype,,P,12,526,--,--,--,--,--,--,--,--,"100,000"
,Chevrolet,Corvette Z06 (C6),2006,P,12,542,6997,503/6300,64.90/4800,FR,4465,1935,1250,1421,"94,500"
,Chevrolet,Corvette ZR1 (C6),2009,P,15,574,6162,638/6500,83.50/3800,FR,4475,1928,1245,1508,"184,800"
,Chevrolet,2010 Tony Stewart #14 Impala,,P,21,630,5866,--,--,--,--,--,--,--,"500,000"
,Chevrolet,2010 Jeff Gordon #24 Impala,,P,21,630,5866,--,--,--,--,--,--,--,"500,000"
,Chevrolet,2010 Juan Montoya #42 Impala,,P,21,630,5866,--,--,--,--,--,--,--,"500,000"
,Chevrolet,2010 Jimmie Johnson #48 Impala,,P,21,630,5866,--,--,--,--,--,--,--,"500,000"
,Chevrolet,2010 Dale Earnhardt Jr. #88 Impala,,P,21,630,5866,--,--,--,--,--,--,--,"500,000"
,Chevrolet,2011 Tony Stewart #14 Impala,,P,21,631,5866,--,--,--,--,--,--,--,"500,000"
,Chevrolet,2011 Jeff Gordon #24 Impala,,P,21,631,5866,--,--,--,--,--,--,--,"500,000"
,Chevrolet,2011 Juan Montoya #42 Impala,,P,21,631,5866,--,--,--,--,--,--,--,"500,000"
,Chevrolet,2011 Jimmie Johnson #48 Impala,,P,21,631,5866,--,--,--,--,--,--,--,"500,000"
,Chevrolet,2011 Dale Earnhardt Jr. #88 Impala,,P,21,631,5866,--,--,--,--,--,--,--,"500,000"
,Citroen,C4 Coupe 2.0VTS,2005,P,1,385,1997,177/7000,21.00/4750,FF,4275,1775,1480,1330,"31,900"
,Citroen,C4 WRC,2008,P,12,508,1998,315/5500,58.00/2750,4WD,4274,1800,---,1230,"850,000"
,Citroen,GT by Citroen Road Car,,P,14,567,---,---,---,---,---,---,---,---,"2,000,000"
,Citroen,GT by Citroen Race Car,,P,21,619,---,---,---,---,---,---,---,---,"5,600,000"
,Citroen,GT by Citroen Concept,2008,P,23,681,---,778/---,---,---,---,---,---,---,"2,000,000"
,Daihatsu,Copen Active Top,2002,P,0,306,659,63/6000,11.20/3200,FF,3395,1475,1245,830,"15,000"
,Daihatsu,OFC-1 Concept,2007,P,1,313,---,63/6000,10.50/3000,FF,---,---,---,820,"30,000"
,Dodge,Challenger SRT8 TC,,P,8,588,---,591/---,---,FR,---,---,---,1285,"220,000"
,Dodge,Challenger R/T,1970,P,8,490,6981,425/5000,67.73/4000,FR,4864,1943,1295,1724,"75,000"
,Dodge,Challenger SRT8,2008,P,8,490,6059,425/6200,58.10/4800,FR,5022,1923,1448,1878,"40,027"
,Dodge,Viper GTS,2002,P,10,516,7997,449/5200,67.70/3700,FR,4488,1923,1219,1569,"90,400"
,Dodge,Viper SRT10 Coupe,2006,P,12,533,8285,509/5600,73.96/4200,FR,4459,1911,1210,1565,"99,770"
,Dodge,Viper SRT10 ACR,2008,P,15,579,8354,603/6100,77.59/5000,FR,4459,1911,1210,1552,"100,000"
,Ferrari,512BB,1976,P,8,481,4942,355/6800,46.00/4600,MR,4400,1830,1120,1400,"102,500"
,Ferrari,F40,1992,P,11,527,2936,478/7000,58.80/4000,MR,4430,1981,1130,---,"450,000"
,Ferrari,California,2008,P,11,522,4279,453/7750,---,FR,4563,1902,1308,---,"236,000"
,Ferrari,599,2006,P,12,545,5999,611/7600,62.00/5600,FR,4665,1962,1336,1580,"320,300"
,Ferrari,F430,2006,P,12,540,4308,483/8500,47.40/5250,MR,4512,1923,1214,1450,"243,200"
,Ferrari,SP1,2008,P,12,540,---,---,---,---,---,---,---,---,"1,500,000"
,Ferrari,430 Scuderia,2007,P,13,548,4308,502/8500,48.00/5250,MR,4512,1923,1199,1350,"302,500"
,Ferrari,458 Italia,2009,P,13,558,4499,562/9000,55.10/6000,MR,4527,1937,1213,---,"283,000"
,Ferrari,Enzo Ferrari,2002,P,15,584,5998,650/7800,67.04/5500,MR,4702,2035,1147,1255,"1,000,000"
,Ferrari,330 P4 Race Car,1967,P,21,602,3967,449/8000,53.30/---,MR,4185,1810,1000,792,"20,000,000"
,Ferrari,F2007,2007,P,24,871,2398,---,---,---,---,---,---,---,"12,500,000"
,Ferrari,F10,2010,P,24,871,2398,---,---,---,---,---,---,---,"10,000,000"
,Fiat,500 F,1968,P,1,223,499.5,17/4600,3.10/3000,RR,2970,1320,1335,520,"20,770"
,Fiat,500 1.2 8V Lounge SS,2008,P,1,287,1240,68/5500,10.40/3000,FF,3545,1625,1515,1010,"23,300"
